,ID,Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,Latitude,Longitude,Clouds,Max Temp,Min Temp,Max Wind Speed,Precipitation
84,12011515,03-17-2020,015XX N ROCKWELL ST,ASSAULT,SIMPLE,STREET,False,False,41.909101751,-87.69209127,53,5.6,1.7,5.1,0.0
86,12011905,03-17-2020,030XX E 79TH ST,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,False,True,41.751921702,-87.552124624,53,5.6,1.7,5.1,0.0
90,12011834,03-17-2020,020XX N MILWAUKEE AVE,ASSAULT,SIMPLE,DRUG STORE,False,False,41.917656022,-87.688750258,53,5.6,1.7,5.1,0.0
110,12011157,03-17-2020,0000X W 79TH ST,ASSAULT,SIMPLE,CTA PLATFORM,False,False,41.750940757,-87.625185222,53,5.6,1.7,5.1,0.0
113,12011190,03-17-2020,065XX S DAMEN AVE,ASSAULT,SIMPLE,STREET,False,True,41.774809048,-87.67378419,53,5.6,1.7,5.1,0.0
121,12011503,03-17-2020,028XX E 79TH ST,ASSAULT,AGGRAVATED - HANDGUN,ALLEY,False,False,41.751885326,-87.554851648,53,5.6,1.7,5.1,0.0
124,12012042,03-17-2020,019XX S CENTRAL PARK AVE,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,CTA STATION,False,False,41.85384608,-87.715063469,53,5.6,1.7,5.1,0.0
137,12011933,03-17-2020,010XX E 80TH ST,ASSAULT,SIMPLE,APARTMENT,False,False,41.74951725,-87.599508123,53,5.6,1.7,5.1,0.0
161,12012654,03-17-2020,053XX S ARTESIAN AVE,ASSAULT,AGGRAVATED - HANDGUN,ALLEY,False,False,41.796129247,-87.685322984,53,5.6,1.7,5.1,0.0
164,12011914,03-17-2020,0000X E ROOSEVELT RD,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,True,False,41.867428687,-87.626342565,53,5.6,1.7,5.1,0.0
177,12011890,03-17-2020,045XX S CICERO AVE,ASSAULT,SIMPLE,CURRENCY EXCHANGE,False,False,41.810275218,-87.743224499,53,5.6,1.7,5.1,0.0
187,12011837,03-17-2020,024XX W DIVISION ST,ASSAULT,SIMPLE,STREET,False,False,41.902999163,-87.688765457,53,5.6,1.7,5.1,0.0
189,12011519,03-17-2020,016XX W 47TH ST,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,False,True,41.808588241,-87.666611662,53,5.6,1.7,5.1,0.0
196,12012058,03-17-2020,082XX S KENWOOD AVE,ASSAULT,SIMPLE,RESIDENCE,False,False,41.74530947,-87.591695919,53,5.6,1.7,5.1,0.0
197,12011471,03-17-2020,108XX S BENSLEY AVE,ASSAULT,SIMPLE,RESIDENCE,False,False,41.698435535,-87.563167931,53,5.6,1.7,5.1,0.0
234,12012336,03-17-2020,051XX S HARPER AVE,ASSAULT,SIMPLE,RESIDENCE - PORCH / HALLWAY,False,False,41.802064139,-87.589149319,53,5.6,1.7,5.1,0.0
253,12012006,03-17-2020,116XX S WATKINS AVE,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESIDENCE,False,True,41.682011762,-87.667908944,53,5.6,1.7,5.1,0.0
254,12011386,03-17-2020,043XX S ARCHER AVE,ASSAULT,SIMPLE,SIDEWALK,False,False,41.814882988,-87.702954893,53,5.6,1.7,5.1,0.0
274,12011831,03-17-2020,038XX S INDIANA AVE,ASSAULT,SIMPLE,STREET,False,False,41.825143519,-87.621634758,53,5.6,1.7,5.1,0.0
281,12012155,03-17-2020,076XX S ESSEX AVE,ASSAULT,SIMPLE,APARTMENT,False,True,41.756584133,-87.5638988,53,5.6,1.7,5.1,0.0
285,12013421,03-17-2020,052XX S CHRISTIANA AVE,ASSAULT,SIMPLE,SIDEWALK,False,False,41.798488129,-87.707377147,53,5.6,1.7,5.1,0.0
292,12011209,03-17-2020,133XX S HOUSTON AVE,ASSAULT,SIMPLE,ALLEY,False,False,41.653095165,-87.548383743,53,5.6,1.7,5.1,0.0
311,12011915,03-17-2020,053XX S DORCHESTER AVE,ASSAULT,SIMPLE,APARTMENT,False,False,41.798977312,-87.591770586,53,5.6,1.7,5.1,0.0
334,12011509,03-17-2020,010XX N MENARD AVE,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,False,False,41.899180343,-87.770411089,53,5.6,1.7,5.1,0.0
340,12011802,03-17-2020,051XX W NORTH AVE,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,41.909509901,-87.754996996,53,5.6,1.7,5.1,0.0
350,12011448,03-17-2020,008XX E 42ND ST,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,False,41.818652143,-87.605678644,53,5.6,1.7,5.1,0.0
376,12012156,03-17-2020,078XX S SANGAMON ST,ASSAULT,SIMPLE,RESIDENCE,False,True,41.751505445,-87.64770256,53,5.6,1.7,5.1,0.0
381,12011576,03-17-2020,021XX W LEXINGTON ST,ASSAULT,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",OTHER (SPECIFY),False,False,41.872332627,-87.679608149,53,5.6,1.7,5.1,0.0
383,12011792,03-17-2020,045XX S WESTERN BLVD,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,DEPARTMENT STORE,False,False,41.810693516,-87.683929054,53,5.6,1.7,5.1,0.0
388,12011824,03-17-2020,058XX N BROADWAY,ASSAULT,SIMPLE,APARTMENT,False,False,41.988216046,-87.66020891,53,5.6,1.7,5.1,0.0
395,12011633,03-17-2020,093XX S BISHOP ST,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,True,False,41.724396001,-87.659105028,53,5.6,1.7,5.1,0.0
396,12012070,03-17-2020,037XX N RIDGEWAY AVE,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,41.94952752,-87.721366907,53,5.6,1.7,5.1,0.0
397,12011853,03-17-2020,002XX N KEELER AVE,ASSAULT,SIMPLE,APARTMENT,False,True,41.885035334,-87.730704645,53,5.6,1.7,5.1,0.0
401,12013484,03-17-2020,004XX S KOSTNER AVE,ASSAULT,SIMPLE,RESTAURANT,False,False,41.874869834,-87.73527607,53,5.6,1.7,5.1,0.0
404,12012040,03-17-2020,008XX E 38TH PL,ASSAULT,AGGRAVATED - HANDGUN,STREET,True,False,41.82531739,-87.606887309,53,5.6,1.7,5.1,0.0
407,12011600,03-17-2020,099XX S NORMAL AVE,ASSAULT,SIMPLE,RESIDENCE,False,True,41.713059546,-87.635713511,53,5.6,1.7,5.1,0.0
408,12011219,03-17-2020,061XX S DR MARTIN LUTHER KING JR DR,ASSAULT,SIMPLE,APARTMENT,False,False,41.783042271,-87.615695083,53,5.6,1.7,5.1,0.0
409,12013776,03-17-2020,058XX W GUNNISON ST,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,False,False,41.9685945,-87.7746947,53,5.6,1.7,5.1,0.0
419,12011886,03-17-2020,006XX E 131ST ST,ASSAULT,SIMPLE,APARTMENT,False,False,41.657321548,-87.606831558,53,5.6,1.7,5.1,0.0
423,12011734,03-17-2020,061XX N HOYNE AVE,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,False,False,41.993533112,-87.682367981,53,5.6,1.7,5.1,0.0
446,12011843,03-17-2020,045XX W JACKSON BLVD,ASSAULT,SIMPLE,APARTMENT,False,False,41.876932377,-87.738227419,53,5.6,1.7,5.1,0.0
478,12011934,03-17-2020,024XX W 72ND ST,ASSAULT,"AGGRAVATED POLICE OFFICER - HANDS, FISTS, FEET, NO INJURY",SIDEWALK,True,False,41.762846492,-87.684844259,53,5.6,1.7,5.1,0.0
479,12011522,03-17-2020,055XX S LOWE AVE,ASSAULT,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",SCHOOL - PUBLIC BUILDING,False,False,41.793521775,-87.641490211,53,5.6,1.7,5.1,0.0
506,12011717,03-17-2020,024XX E 105TH ST,ASSAULT,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",PARK PROPERTY,False,False,41.704574292,-87.565584886,53,5.6,1.7,5.1,0.0
536,12011214,03-17-2020,081XX S COLFAX AVE,ASSAULT,SIMPLE,APARTMENT,False,False,41.747502374,-87.561313836,53,5.6,1.7,5.1,0.0
538,12011737,03-17-2020,056XX W PATTERSON AVE,ASSAULT,SIMPLE,RESIDENCE,True,True,41.946777524,-87.76787155,53,5.6,1.7,5.1,0.0
548,12011505,03-17-2020,011XX W 122ND ST,ASSAULT,SIMPLE,SIDEWALK,False,False,41.672227957,-87.650557648,53,5.6,1.7,5.1,0.0
565,12011455,03-17-2020,0000X W WASHINGTON ST,ASSAULT,SIMPLE,GOVERNMENT BUILDING / PROPERTY,False,False,41.883210775,-87.629906972,53,5.6,1.7,5.1,0.0
579,12012330,03-18-2020,023XX N KEELER AVE,ASSAULT,SIMPLE,RESIDENCE,False,False,41.923368973,-87.731633833,93,6.7,2.6,6.2,9.5
590,12014483,03-18-2020,078XX S WESTERN AVE,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,PARKING LOT / GARAGE (NON RESIDENTIAL),False,True,41.75097171,-87.682871235,93,6.7,2.6,6.2,9.5
593,12013474,03-18-2020,015XX W LUNT AVE,ASSAULT,SIMPLE,SIDEWALK,False,False,42.009076762,-87.668580657,93,6.7,2.6,6.2,9.5
616,12012720,03-18-2020,029XX W CHICAGO AVE,ASSAULT,SIMPLE,STREET,False,False,41.895631492,-87.699722593,93,6.7,2.6,6.2,9.5
619,12012613,03-18-2020,003XX S SACRAMENTO BLVD,ASSAULT,"AGGRAVATED POLICE OFFICER - HANDS, FISTS, FEET, NO INJURY",GAS STATION,True,False,41.876720197,-87.701088107,93,6.7,2.6,6.2,9.5
629,12012554,03-18-2020,056XX W 64TH PL,ASSAULT,SIMPLE,RESIDENCE,False,False,41.775307308,-87.762751914,93,6.7,2.6,6.2,9.5
